Fuc,Hex,HexNAc,N-core,Neu5Ac,Massindex,Isobar,Hit,DM5,Exp. Mass,Theo. Mass,Da.,ppm,ch_A,ch_B
0,4,2,2,0,14,1318,3,1,148963.80596324356,148963.09744,0.7085232435492799,4.7563675549554265,Man5,G2
0,4,2,2,0,14,1318,3,1,148963.80596324356,148963.09744,0.7085232435492799,4.7563675549554265,G2,Man5
0,4,2,2,0,68,26325,2,4,151830.86567117958,151834.09744,-3.2317688204348087,-21.28486864890082,Man5,G2
0,4,2,2,0,68,26325,2,4,151830.86567117958,151834.09744,-3.2317688204348087,-21.28486864890082,G2,Man5
1,0,4,2,0,28,4314,1,2,149826.4735031137,149824.06128000002,2.4122231136716437,16.100371950027036,G0,G0F
1,0,4,2,0,28,4314,1,2,149826.4735031137,149824.06128000002,2.4122231136716437,16.100371950027036,G0F,G0
1,0,4,2,0,49,12670,0,3,150784.4782844528,150781.06128000002,3.417004452785477,22.662026807465622,G0,G0F
1,0,4,2,0,49,12670,0,3,150784.4782844528,150781.06128000002,3.417004452785477,22.662026807465622,G0F,G0
1,0,4,2,0,67,24974,2,4,151739.76517809826,151738.06128000002,1.7038980982324574,11.229206989064393,G0,G0F
1,0,4,2,0,67,24974,2,4,151739.76517809826,151738.06128000002,1.7038980982324574,11.229206989064393,G0F,G0
1,1,4,2,0,103,82293,0,6,153815.50881086165,153814.20212,1.3066908616456203,8.495254948084636,G0,G1F
1,1,4,2,0,103,82293,0,6,153815.50881086165,153814.20212,1.3066908616456203,8.495254948084636,G1,G0F
1,1,4,2,0,103,82293,0,6,153815.50881086165,153814.20212,1.3066908616456203,8.495254948084636,G0F,G1
1,1,4,2,0,103,82293,0,6,153815.50881086165,153814.20212,1.3066908616456203,8.495254948084636,G1F,G0
1,2,4,2,2,11,1012,2,0,148815.6059654331,148816.85308,-1.2471145669114776,-8.38019714232945,G0,G2FSA2
1,2,4,2,2,11,1012,2,0,148815.6059654331,148816.85308,-1.2471145669114776,-8.38019714232945,G2FSA2,G0
1,2,4,2,2,47,11578,2,2,150727.47651975614,150730.85308,-3.3765602438652422,-22.40125478539647,G0,G2FSA2
1,2,4,2,2,47,11578,2,2,150727.47651975614,150730.85308,-3.3765602438652422,-22.40125478539647,G2FSA2,G0
1,3,2,2,0,85,46943,0,5,152776.28815790065,152775.09804,1.1901179006381426,7.789999259738931,Man5,G1F
1,3,2,2,0,85,46943,0,5,152776.28815790065,152775.09804,1.1901179006381426,7.789999259738931,G1F,Man5
1,3,4,2,0,5,386,0,0,148398.06958461323,148396.48380000002,1.5857846132130362,10.68613334093726,G1,G2F
1,3,4,2,0,5,386,0,0,148398.06958461323,148396.48380000002,1.5857846132130362,10.68613334093726,G2,G1F
1,3,4,2,0,5,386,0,0,148398.06958461323,148396.48380000002,1.5857846132130362,10.68613334093726,G1F,G2
1,3,4,2,0,5,386,0,0,148398.06958461323,148396.48380000002,1.5857846132130362,10.68613334093726,G2F,G1
1,3,4,2,1,10,877,0,0,148686.8877301138,148687.73886,-0.8511298861994874,-5.7242775545930265,G1,G2FSA1
1,3,4,2,1,10,877,0,0,148686.8877301138,148687.73886,-0.8511298861994874,-5.7242775545930265,G2FSA1,G1
1,4,2,2,0,33,5778,2,2,150069.87464229017,150066.23888000002,3.6357622901559807,24.22771648900527,Man5,G2F
1,4,2,2,0,33,5778,2,2,150069.87464229017,150066.23888000002,3.6357622901559807,24.22771648900527,G2F,Man5
1,4,2,2,0,71,29612,1,4,151984.4535671223,151980.23888000002,4.214687122293981,27.73181009158564,Man5,G2F
1,4,2,2,0,71,29612,1,4,151984.4535671223,151980.23888000002,4.214687122293981,27.73181009158564,G2F,Man5
1,4,2,2,1,21,2562,3,1,149398.8237028238,149400.49394000001,-1.6702371762075927,-11.17959607870084,Man5,G2FSA1
1,4,2,2,1,21,2562,3,1,149398.8237028238,149400.49394000001,-1.6702371762075927,-11.17959607870084,G2FSA1,Man5
1,4,2,2,1,39,7748,3,2,150355.10666511217,150357.49394000001,-2.387274887849344,-15.877325601090314,Man5,G2FSA1
