Mass_ID,Isobar,Stage1_hit,Stage2_hit,Hash,Hex,HexNAc,Neu5Ac,Fuc,NCore,DM1,MCC,Exp. Mass,Theo. Mass,Da,ppm,ch_A,ch_B,Abundance,Permutations,Permutation abundance
119,5997,0,4,3007179775047369534,7,7,0,1,1,6,0,154506.24478,154508.64960000003,-2.404820000025211,-15.564306634294798,A1G1F,A2G0,0.6809699610359385,2,1.361939922071877
119,5997,0,5,5326809305034651244,7,7,0,1,1,6,0,154506.24478,154508.64960000003,-2.404820000025211,-15.564306634294798,A1G0,A2G1F,3.006788032549082,2,6.013576065098164
119,5997,0,6,3243890467681034002,7,7,0,1,1,6,0,154506.24478,154508.64960000003,-2.404820000025211,-15.564306634294798,A2G1,A1G0F,0.8698721003038343,2,1.7397442006076687
119,5997,0,7,-7124418777217594281,7,7,0,1,1,6,0,154506.24478,154508.64960000003,-2.404820000025211,-15.564306634294798,A1G1,A2G0F,0.8368721188698477,2,1.6737442377396954
119,6001,0,0,6376557661218153622,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A2G1F,A1G1,0.7548957188101949,2,1.5097914376203898
119,6001,0,1,3708084792803615856,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A2G2F,A1G0,0.52431871892735,2,1.0486374378547
119,6001,0,2,5817712136133063102,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A1G1F,A2G1,0.3298226116082207,2,0.6596452232164414
119,6001,0,3,3708084792803615856,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A1G0,A2G2F,0.52431871892735,2,1.0486374378547
119,6001,0,4,5817712136133063102,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A2G1,A1G1F,0.3298226116082207,2,0.6596452232164414
119,6001,0,5,6376557661218153622,8,7,0,1,7,0,1,154506.24478,154503.73500000002,2.509779999993043,16.244138046197023,A1G1,A2G1F,0.7548957188101949,2,1.5097914376203898
